ZONA;Ônibus;Fretado;Escolar;Automóvel;Táxi;Metrô;Trem;Moto;Bicicleta;A pé;Outros;Total
 128 ;9802;1054;246;26828;461;47;633;247;0;3759;203;43280
 129 ;17293;61;2339;31005;264;963;0;582;44;9547;92;62190
 130 ;11876;533;30;30211;371;1370;667;244;0;8398;21;53721
 131 ;14037;974;167;28551;1525;1512;4127;0;16;3413;0;54323
 132 ;8269;85;775;32156;0;369;5850;0;44;3730;0;51277
 133 ;15525;909;816;28179;363;1096;5860;206;1408;8789;2556;65706
 134 ;6347;568;937;16224;86;302;3231;235;167;8253;1502;37853
 135 ;13377;1109;83;26848;0;1557;681;52;167;7784;0;51658
 136 ;15816;1308;1260;16912;0;445;764;0;0;6952;133;43589
 137 ;15065;939;1300;30572;0;252;2316;101;1010;23629;51;75236
 138 ;11329;799;740;11776;0;91;1141;413;0;14971;0;41259
 139 ;25226;0;2416;26707;124;1068;4900;509;0;17067;0;78017
 140 ;39917;101;5297;63440;80;3728;2480;2101;1199;41990;101;160435
 141 ;24850;1293;2576;53865;0;1355;952;453;810;31671;0;117827
 142 ;20384;0;833;21831;0;3004;207;463;803;20553;283;68361
 143 ;17035;142;1469;18068;124;3806;260;0;124;35613;142;76783
 144 ;32139;652;622;25942;109;2075;401;652;904;67945;307;131749
 145 ;33617;181;2477;17260; ;4083;300;181;411;50743;0;109252
 146 ;31918;794;3374;27130;172;9135;957;2148;760;23439;0;99827
 147 ;20470;336;2368;11741;172;3138;635;165;0;23036;0;62061
 148 ;32617;2907;1248;47559;0;11079;0;0;0;55468;93;150971
 149 ;4298;850;719;4252;165;498;0;0;27;3537;0;14346
 150 ;10516;219;1031;13998;0;4266;0;188;0;4989;176;35382
 151 ;10972;220;1374;18827;0;2769;297;875;0;11661;610;47606
 152 ;12073;0;0;19551;176;4314;0;188;147;11693;203;48346
 153 ;21736;391;1817;30070;2094;5371;0;32;0;29642;0;91152
 154 ;25528;192;1381;40390;0;4693;0;1071;60;33295;109;106720
 155 ;21718;2133;3697;27955;27;6532;0;379;0;43147;529;106116
 156 ;5435;112;0;2004;0;502;0;350;60;8912;145;17520
 157 ;76816;2907;435;147922;1588;13975;1009;735;2184;123661;2305;373536
 158 ;101121;2169;3362;90120;330;3739;80;819;161;81680;0;283580
 159 ;1359;32;165;3584;0;417;93;0;63;4236;0;9950
 160 ;19058;855;2203;20920;0;7418;0;691;726;38101;95;90067
 161 ;12762;1009;2586;9099;0;3284;1056;0;989;43679;0;74463
 162 ;17474;507;2408;15059;0;5732;589;0;314;29824;0;71907
 163 ;8240;767;1208;10013;84;7413;353;445;133;33402;270;62327
 164 ;12424;0;1374;29577;761;12664;1788;49;617;37108;98;96461
 165 ;16935;225;619;12305;0;6739;1124;638;415;25445;0;64443
 166 ;4511;170;260;16248;365;11925;672;0;293;33595;0;68040
 167 ;18627;91;454;14966;708;23045;936;0;241;53572;0;112639
 168 ;12414;187;1778;19221;0;6896;0;187;0;27221;0;67905
 169 ;16923;148;1721;31001;0;3651;2554;29;438;33114;0;89579
 170 ;10783;89;179;16982;60;2736;334;256;268;22261;0;53949
 171 ;16022;179;156;25168;179;4019;0;124;785;24192;0;70824
 172 ;14267;1538;4678;19216;714;2979;0;435;0;34407;0;78234
 173 ;22323;136;2286;32384;432;2311;178;432;272;41707;0;102461
 174 ;17134;930;800;19604;23;2865;0;0;0;39831;264;81450
 175 ;27135;599;2601;44345;0;1714;520;420;0;47118;500;124951
 176 ;28710;1898;2644;16619;0;2531;329;0;0;44451;0;97183
 177 ;47894;5934;3272;74524;0;225;5005;0;0;83068;504;220426
 178 ;21083;3494;3228;71497;0;1023;3477;261;1026;58318;1750;165158
 179 ;118260;7471;2321;180616;1509;2420;14024;1451;604;80962;455;410094
 180 ;33813;18168;8894;133159;1133;2823;979;825;799;82400;1151;284144
 181 ;52716;903;2387;61728;88;7955;0;1201;2263;90820;2027;222087
 182 ;28403;470;1501;20816;79;13286;0;0;235;28593;0;93383
 183 ;31669;315;1169;41387;0;4552;117;494;235;66706;1004;147647
 184 ;17435;43;1065;10121;0;2607;258;338;197;29617;0;61681
 185 ;21629;868;1949;51219;33;3888;260;389;766;53435;1183;135620
 186 ;18240;415;336;19223;152;270;0;0;174;20082;110;59002
 187 ;4125;1035;110;3995;0;419;0;108;0;5662;0;15453
 188 ;13444;150;4439;22479;0;150;134;143;174;13864;0;54977
 189 ;17096;1925;1231;23509;128;638;347;30;0;9494;971;55367
 190 ;17388;150;1313;23841;15;422;0;0;464;1936;0;45529
 191 ;79594;616;2300;32498;145;1521;212;549;0;13578;1491;132504
 192 ;17759;2907;234;19192;33;1254;1681;115;0;8463;0;51637
 193 ;41255;2480;282;70105;274;4502;227;4214;0;14335;34;137708
 194 ;9005;331;128;11081;0;732;0;0;0;6017;0;27295
 195 ;10603;170;590;19057;0;239;0;0;441;4071;0;35170
 196 ;7892;0;373;14338;104;0;0;166;0;6763;104;29740
 197 ;3378;621;592;7534;1137;0;126;0;193;3594;0;17174
 198 ;21501;0;2267;43636;2931;2948;301;231;0;12834;0;86649
 199 ;14128;444;1102;34896;261;261;0;0;339;10345;130;61904
 200 ;7193;109;46;14499;0;0;0;222;0;6975;0;29042
 201 ;25852;1426;2632;28311;286;734;1855;470;841;27468;392;90267
 202 ;14029;818;1191;13597;0;149;0;228;46;6381;0;36439
 203 ;33543;3042;1185;131910;0;554;2819;2047;1851;54886;1943;233781
 204 ;62425;1395;1562;95674;478;1180;8000;1346;84;22427;155;194725
 205 ;15549;651;102;15100;0;1424;3254;579;1467;23757;184;62066
 206 ;84054;2544;4307;82772;0;1864;4108;796;2808;125328;272;308854
 207 ;5234;1497;29;5490;0;231;486;0;0;3531;139;16638
 208 ;13561;1695;300;13595;0;2096;1796;463;288;28273;0;62066
 209 ;30726;1812;196;18835;0;2143;2111;544;57;48025;0;104448
 210 ;22754;382;1963;8297;109;1980;498;573;1457;29724;0;67737
 211 ;0;0;0;0;0;0;0;0;0;0;0;0
 212 ;0;0;0;0;0;0;0;0;0;0;0;0
 213 ;66;0;0;0;0;0;0;0;0;0;0;66
 214 ;0;0;0;228;0;0;0;0;0;0;0;228
 215 ;3936;261;358;4342;0;1209;55;266;0;7936;42;18407
 216 ;19503;841;2748;24116;120;2872;169;0;241;26981;0;77591
 217 ;66422;7684;3131;86620;29;5978;817;626;2377;155477;9;329169
 218 ;16629;808;1404;16311;0;3166;574;112;1005;37948;320;78278
 219 ;18821;1980;1424;21635;0;6243;997;0;462;75442;127;127131
 220 ;11679;847;502;13096;0;3968;524;103;0;26252;208;57179
 221 ;24583;1178;592;14824;61;3029;990;383;37;15938;256;61871
 222 ;47551;1094;702;25306;880;3535;2539;112;178;30728;53;112678
 223 ;20560;1316;354;13067;0;8793;1075;0;308;44087;498;90057
 224 ;9528;0;967;11072;0;6715;72;467;206;19014;251;48292
 225 ;7330;334;614;3876;0;4716;1277;0;0;18376;0;36523
 226 ;15978;1043;727;17256;375;7027;266;610;73;42646;375;86377
 227 ;15297;563;433;21174;41;4867;757;0;218;23565;415;67330
 228 ;6696;201;267;7074;0;3928;43;101;135;17866;0;36311
 229 ;13222;1106;870;15338;0;2800;202;0;0;27611;13;61161
 230 ;4549;523;331;3738;0;2500; ;535;0;6803;0;18978
 231 ;2569;990;0;1029;0;594;29;13;13;2805;0;8042
 232 ;8109;0;352;10664;0;510;91;210;178;15569;203;35886
 233 ;24529;1169;705;26506;0;3903;66;0;243;44408;170;101699
 234 ;6300;212;0;13644;0;922;92;13;208;19967;173;41531
 235 ;10174;323;88;6335;0;712;0;0;0;13309;0;30942
 236 ;24605;2628;178;22201;0;1686;0;315;254;35455;0;87322
 237 ;27700;3653;2296;59388;0;1615;2132;1461;608;43632;608;143093
 238 ;10295;2998;468;12443;0;0;2855;0;0;16952;0;46010
 239 ;54402;16229;246;86101;0;1886;7409;1908;907;82502;0;251588
 240 ;88784;6073;8344;180030;1497;4563;1087;422;210;96318;3872;391200
 241 ;31347;9357;3644;81282;0;1662;205;454;999;71199;90;200239
